"Control","Log_Single","Log_Sequential"
"1979",41.4257659912109,41.4257659912109,41.4257659912109
"1980",48.0989112854004,48.0989112854004,48.0989112854004
"1981",65.9640502929688,65.9640502929688,65.9640502929688
"1982",83.9157333374023,83.9157333374023,83.9157333374023
"1983",112.079406738281,112.079406738281,112.079406738281
"1984",145.795028686523,145.795028686523,145.795028686523
"1985",168.118942260742,168.118942260742,168.118942260742
"1986",195.397171020508,195.397171020508,195.397171020508
"1987",236.074295043945,236.074295043945,236.074295043945
"1988",259.536773681641,259.536773681641,259.536773681641
"1989",271.063598632812,271.063598632812,271.063598632812
"1990",315.038970947266,315.038970947266,315.038970947266
"1991",331.012298583984,331.012298583984,331.012298583984
"1992",303.661163330078,303.661163330078,303.661163330078
"1993",293.639801025391,293.639801025391,293.639801025391
"1994",334.301055908203,334.301055908203,334.301055908203
"1995",345.723541259766,345.723541259766,345.723541259766
"1996",407.899871826172,407.899871826172,407.899871826172
"1997",427.620727539062,427.620727539062,427.620727539062
"1998",495.212738037109,495.212738037109,495.212738037109
"1999",520.390930175781,520.390930175781,520.390930175781
"2000",368.338104248047,368.338104248047,368.338104248047
"2001",213.763595581055,213.763595581055,213.763595581055
"2002",170.327438354492,170.327438354492,170.327438354492
"2003",169.246566772461,169.246566772461,169.246566772461
"2004",174.075271606445,174.075271606445,174.075271606445
"2005",203.312240600586,203.312240600586,203.312240600586
"2006",229.404495239258,229.404495239258,229.404495239258
"2007",253.247207641602,253.247207641602,253.247207641602
"2008",276.233947753906,276.233947753906,276.233947753906
"2009",301.592803955078,301.592803955078,301.592803955078
"2010",333.539672851562,333.539672851562,333.539672851562
"2011",359.425048828125,359.425048828125,359.425048828125
"2012",370.696899414062,370.696899414062,370.696899414062
"2013",356.141632080078,356.141632080078,356.141632080078
"2014",371.670196533203,371.670196533203,371.670196533203
"2015",401.046051025391,401.046051025391,401.046051025391
"2016",416.856353759766,416.856353759766,416.856353759766
"2017",467.499237060547,467.499237060547,467.499237060547
"2018",506.386566162109,506.386566162109,506.386566162109
