"Year","Control","Log_Single","Log_Sequential"
1979,337.529083251953,337.529083251953,337.529083251953
1980,532.753723144531,532.753723144531,532.753723144531
1981,848.641906738281,848.641906738281,848.641906738281
1982,922.459289550781,922.459289550781,922.459289550781
1983,967.754089355469,967.754089355469,967.754089355469
1984,889.653076171875,889.653076171875,889.653076171875
1985,674.111755371094,674.111755371094,674.111755371094
1986,573.884765625,573.884765625,573.884765625
1987,629.245300292969,629.245300292969,629.245300292969
1988,624.532897949219,624.532897949219,624.532897949219
1989,538.511535644531,538.511535644531,538.511535644531
1990,567.272277832031,567.272277832031,567.272277832031
1991,534.5341796875,534.5341796875,534.5341796875
1992,545.391052246094,545.391052246094,545.391052246094
1993,495.895599365234,495.895599365234,495.895599365234
1994,581.881591796875,581.881591796875,581.881591796875
1995,628.743835449219,628.743835449219,628.743835449219
1996,741.946838378906,741.946838378906,741.946838378906
1997,795.385437011719,795.385437011719,795.385437011719
1998,889.058288574219,889.058288574219,889.058288574219
1999,925.042907714844,925.042907714844,925.042907714844
2000,835.103576660156,835.103576660156,835.103576660156
2001,649.137023925781,649.137023925781,649.137023925781
2002,638.289001464844,638.289001464844,638.289001464844
2003,642.1220703125,642.1220703125,642.1220703125
2004,626.615417480469,626.615417480469,626.615417480469
2005,661.350402832031,661.350402832031,661.350402832031
2006,684.636413574219,684.636413574219,684.636413574219
2007,725.99267578125,725.99267578125,725.99267578125
2008,764.669677734375,764.669677734375,764.669677734375
2009,726.753967285156,726.753967285156,726.753967285156
2010,692.089904785156,692.089904785156,692.089904785156
2011,672.002807617188,672.002807617188,672.002807617188
2012,751.748352050781,751.748352050781,751.748352050781
2013,784.684143066406,784.684143066406,784.684143066406
2014,736.340881347656,736.340881347656,736.340881347656
2015,628.751770019531,628.751770019531,628.751770019531
2016,621.223327636719,621.223327636719,621.223327636719
2017,758.679382324219,758.679382324219,758.679382324219
2018,832.480529785156,832.480529785156,832.480529785156
2019,953.425537109375,953.425537109375,953.425537109375
2020,926.496032714844,926.496032714844,926.496032714844
2021,785.856384277344,785.856384277344,785.856384277344
2022,666.792602539062,666.792602539062,666.792602539062
2023,706.379089355469,706.379089355469,706.379089355469
2024,720.623718261719,720.623718261719,720.623718261719
2025,650.857971191406,650.857971191406,650.857971191406
2026,677.965026855469,677.965026855469,677.965026855469
2027,639.047302246094,639.047302246094,639.047302246094
2028,646.151489257812,646.151489257812,646.151489257812
2029,569.199035644531,569.199035644531,569.199035644531
2030,636.719665527344,636.719665527344,636.719665527344
2031,684.385070800781,684.385070800781,684.385070800781
2032,781.627197265625,781.627197265625,781.627197265625
