"Year","Control","Log_Single","Log_Sequential"
1979,337.529083251953,337.529083251953,337.529083251953
1980,532.753723144531,532.753723144531,532.753723144531
1981,848.641906738281,848.641906738281,848.641906738281
1982,922.459289550781,922.459289550781,922.459289550781
1983,967.754089355469,967.754089355469,967.754089355469
1984,889.653076171875,889.653076171875,889.653076171875
1985,674.111755371094,674.111755371094,674.111755371094
1986,573.884765625,573.884765625,573.884765625
1987,629.245300292969,629.245300292969,629.245300292969
1988,624.532897949219,624.532897949219,624.532897949219
1989,538.511535644531,538.511535644531,538.511535644531
1990,567.272277832031,567.272277832031,567.272277832031
1991,447.187225341797,447.187225341797,447.187225341797
1992,424.906951904297,424.906951904297,424.906951904297
1993,566.062133789062,566.062133789062,566.062133789062
1994,663.278686523438,663.278686523438,663.278686523438
1995,796.705810546875,796.705810546875,796.705810546875
1996,798.268859863281,798.268859863281,798.268859863281
1997,687.085021972656,687.085021972656,687.085021972656
1998,595.165588378906,595.165588378906,595.165588378906
1999,645.870910644531,645.870910644531,645.870910644531
2000,669.645690917969,669.645690917969,669.645690917969
2001,610.859191894531,610.859191894531,610.859191894531
2002,645.048522949219,645.048522949219,645.048522949219
2003,510.358764648438,510.358764648438,510.358764648438
2004,478.389190673828,478.389190673828,478.389190673828
2005,593.981079101562,593.981079101562,593.981079101562
2006,669.503234863281,669.503234863281,669.503234863281
2007,798.115417480469,798.115417480469,798.115417480469
2008,819.864074707031,819.864074707031,819.864074707031
2009,745.245422363281,745.245422363281,745.245422363281
2010,652.129028320312,652.129028320312,652.129028320312
2011,698.681396484375,698.681396484375,698.681396484375
2012,717.566711425781,717.566711425781,717.566711425781
2013,651.44384765625,651.44384765625,651.44384765625
2014,681.37548828125,681.37548828125,681.37548828125
2015,535.433166503906,535.433166503906,535.433166503906
2016,497.808990478516,497.808990478516,497.808990478516
2017,612.311706542969,612.311706542969,612.311706542969
2018,686.601989746094,686.601989746094,686.601989746094
2019,815.118408203125,815.118408203125,815.118408203125
2020,832.462646484375,832.462646484375,832.462646484375
2021,751.426452636719,751.426452636719,751.426452636719
2022,654.166931152344,654.166931152344,654.166931152344
2023,697.768981933594,697.768981933594,697.768981933594
2024,713.459716796875,713.459716796875,713.459716796875
2025,646.285583496094,646.285583496094,646.285583496094
2026,674.41552734375,674.41552734375,674.41552734375
2027,529.46728515625,529.46728515625,529.46728515625
2028,491.646148681641,491.646148681641,491.646148681641
2029,602.179748535156,602.179748535156,602.179748535156
2030,671.853942871094,671.853942871094,671.853942871094
2031,794.37060546875,794.37060546875,794.37060546875
2032,810.268371582031,810.268371582031,810.268371582031
