"Year","Treatment","AGB","AGB.c","AGB.d","rep","AGB.sc"
1979,"Control",41.4257659912109,-426.662383258933,0,"1",-3.39143505360884
1980,"Control",48.0989112854004,-419.989237964743,0,"1",-3.35126640268198
1981,"Control",65.9640502929688,-402.124098957175,0,"1",-3.2437281278628
1982,"Control",83.9157333374023,-384.172415912742,0,"1",-3.13566890571618
1983,"Control",112.079406738281,-356.008742511863,0,"1",-2.96613913889946
1984,"Control",145.795028686523,-322.293120563621,0,"1",-2.76318970664295
1985,"Control",168.118942260742,-299.969206989402,0,"1",-2.62881207028832
1986,"Control",195.397171020508,-272.690978229636,0,"1",-2.46461219142337
1987,"Control",236.074295043945,-232.013854206199,0,"1",-2.21975835959855
1988,"Control",259.536773681641,-208.551375568503,0,"1",-2.07852719007836
1989,"Control",271.063598632812,-197.024550617332,0,"1",-2.0091420669698
1990,"Control",315.038970947266,-153.049178302878,0,"1",-1.74443460114913
1991,"Control",331.012298583984,-137.07585066616,0,"1",-1.64828398645497
1992,"Control",303.661163330078,-164.426985920066,0,"1",-1.81292272216842
1993,"Control",293.639801025391,-174.448348224753,0,"1",-1.87324579119842
1994,"Control",334.301055908203,-133.787093341941,0,"1",-1.62848748283999
1995,"Control",345.723541259766,-122.364607990378,0,"1",-1.55973042652299
1996,"Control",407.899871826172,-60.1882774239718,0,"1",-1.18546323941262
1997,"Control",427.620727539062,-40.4674217110818,0,"1",-1.06675457442973
1998,"Control",495.212738037109,27.1245887869651,0,"1",-0.659887983722515
1999,"Control",520.390930175781,52.3027809256372,0,"1",-0.508329166043482
2000,"Control",368.338104248047,-99.7500450020968,0,"1",-1.4236032411415
2001,"Control",213.763595581055,-254.324553669089,0,"1",-2.3540564542975
2002,"Control",170.327438354492,-297.760710895652,0,"1",-2.61551814294938
2003,"Control",169.246566772461,-298.841582477683,0,"1",-2.62202439320488
2004,"Control",174.075271606445,-294.012877643699,0,"1",-2.5929582556709
2005,"Control",203.312240600586,-264.775908649558,0,"1",-2.41696784186893
2006,"Control",229.404495239258,-238.683654010886,0,"1",-2.2599068725254
2007,"Control",253.247207641602,-214.840941608542,0,"1",-2.11638690564063
2008,"Control",276.233947753906,-191.854201496238,0,"1",-1.97801941942366
2009,"Control",301.592803955078,-166.495345295066,0,"1",-1.82537310381949
2010,"Control",333.539672851562,-134.548476398582,0,"1",-1.63307058853836
2011,"Control",359.425048828125,-108.663100422019,0,"1",-1.4772549145385
2012,"Control",370.696899414062,-97.3912498360818,0,"1",-1.40940459635639
2013,"Control",356.141632080078,-111.946517170066,0,"1",-1.49701927083306
2014,"Control",371.670196533203,-96.4179527169408,0,"1",-1.40354588498366
2015,"Control",401.046051025391,-67.0420982247528,0,"1",-1.22671945715174
2016,"Control",416.856353759766,-51.2317954903778,0,"1",-1.13155016237584
2017,"Control",467.499237060547,-0.58891218959684,0,"1",-0.826707961051355
2018,"Control",506.386566162109,38.2984169119651,0,"1",-0.592627706644375
2019,"Control",560.381286621094,92.2931373709501,0,"1",-0.267609295925977
2020,"Control",620.819274902344,152.7311256522,0,"1",0.096194030236447
2021,"Control",620.158935546875,152.070786296731,0,"1",0.0922191518404681
2022,"Control",594.623291015625,126.535141765481,0,"1",-0.0614913319191665
2023,"Control",601.544860839844,133.4567115897,0,"1",-0.0198273024581209
2024,"Control",582.907287597656,114.819138347512,0,"1",-0.132015204966572
2025,"Control",454.394287109375,-13.6938621407688,0,"1",-0.905592525495198
2026,"Control",394.552703857422,-73.5354453927218,0,"1",-1.26580582261184
2027,"Control",353.513214111328,-114.574935138816,0,"1",-1.51284089605206
2028,"Control",322.241363525391,-145.846785724753,0,"1",-1.70108017373079
2029,"Control",325.450469970703,-142.637679279441,0,"1",-1.68176312443754
2030,"Control",359.062133789062,-109.026015461082,0,"1",-1.47943946273543
2031,"Control",378.616058349609,-89.4720909005349,0,"1",-1.36173563113944
2032,"Control",430.447357177734,-37.6407920724099,0,"1",-1.04973982437563
